"LFS_COUNTRY","Country","PROG","Programmes","MEAS","Measure","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","40","Employment incentives","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2009","2009",0.01,,
"AUS","Australia","50","Integration of the disabled","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1992","1992",0.05,,
"AUS","Australia","50","Integration of the disabled","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1993","1993",0.06,,
"AUS","Australia","50","Integration of the disabled","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1994","1994",0.06,,
"AUS","Australia","50","Integration of the disabled","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1995","1995",0.06,,
"AUS","Australia","50","Integration of the disabled","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1996","1996",0.05,,
"AUS","Australia","50","Integration of the disabled","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1997","1997",0.05,,
"AUS","Australia","50","Integration of the disabled","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1998","1998",0.05,,
"AUS","Australia","50","Integration of the disabled","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1999","1999",0.05,,
"AUS","Australia","50","Integration of the disabled","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2000","2000",0.05,,
"AUS","Australia","50","Integration of the disabled","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2001","2001",0.05,,
"AUS","Australia","50","Integration of the disabled","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2002","2002",0.05,,
"AUS","Australia","50","Integration of the disabled","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2003","2003",0.05,,
"AUS","Australia","50","Integration of the disabled","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2004","2004",0.05,,
"AUS","Australia","50","Integration of the disabled","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2005","2005",0.05,,
"AUS","Australia","50","Integration of the disabled","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2006","2006",0.05,,
"AUS","Australia","50","Integration of the disabled","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2007","2007",0.06,,
"AUS","Australia","50","Integration of the disabled","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2008","2008",0.06,,
"AUS","Australia","50","Integration of the disabled","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2009","2009",0.07,,
"AUS","Australia","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1992","1992",0.1,,
"AUS","Australia","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1993","1993",0.09,,
"AUS","Australia","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1994","1994",0.14,,
"AUS","Australia","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1995","1995",0.23,,
"AUS","Australia","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1996","1996",0.11,,
"AUS","Australia","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1997","1997",0.07,,
"AUS","Australia","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1998","1998",0.07,,
"AUS","Australia","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1999","1999",0.09,,
"AUS","Australia","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2000","2000",0.08,,
"AUS","Australia","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2001","2001",0.08,,
"AUS","Australia","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2002","2002",0.09,,
"AUS","Australia","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2003","2003",0.08,,
"AUS","Australia","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2004","2004",0.08,,
"AUS","Australia","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2005","2005",0.08,,
"AUS","Australia","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2006","2006",0.06,,
"AUS","Australia","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2007","2007",0.05,,
"AUS","Australia","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2008","2008",0.04,,
"AUS","Australia","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2009","2009",0.04,,
"AUS","Australia","70","Start-up incentives","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1992","1992",0.01,,
"AUS","Australia","70","Start-up incentives","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1993","1993",0.02,,
"AUS","Australia","70","Start-up incentives","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1994","1994",0.02,,
"AUS","Australia","70","Start-up incentives","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1995","1995",0.03,,
"AUS","Australia","70","Start-up incentives","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1996","1996",0.03,,
"AUS","Australia","70","Start-up incentives","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1997","1997",0.02,,
"AUS","Australia","70","Start-up incentives","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1998","1998",0.02,,
"AUS","Australia","70","Start-up incentives","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1999","1999",0.02,,
"AUS","Australia","70","Start-up incentives","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2000","2000",0.01,,
"AUS","Australia","70","Start-up incentives","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2001","2001",0.02,,
"AUS","Australia","70","Start-up incentives","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2002","2002",0.01,,
"AUS","Australia","70","Start-up incentives","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2003","2003",0.01,,
"AUS","Australia","70","Start-up incentives","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2004","2004",0.01,,
"AUS","Australia","70","Start-up incentives","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2005","2005",0.01,,
"AUS","Australia","70","Start-up incentives","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2006","2006",0.01,,
"AUS","Australia","70","Start-up incentives","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2007","2007",0.01,,
"AUS","Australia","70","Start-up incentives","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2008","2008",0.01,,
"AUS","Australia","70","Start-up incentives","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2009","2009",0.01,,
"AUS","Australia","80","Out-of-work income maintenance and support","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1992","1992",1.69,,
"AUS","Australia","80","Out-of-work income maintenance and support","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1993","1993",1.64,,
"AUS","Australia","80","Out-of-work income maintenance and support","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1994","1994",1.5,,
"AUS","Australia","80","Out-of-work income maintenance and support","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1995","1995",1.23,,
"AUS","Australia","80","Out-of-work income maintenance and support","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1996","1996",1.25,,
"AUS","Australia","80","Out-of-work income maintenance and support","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1997","1997",1.13,,
"AUS","Australia","80","Out-of-work income maintenance and support","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1998","1998",1.07,,
"AUS","Australia","80","Out-of-work income maintenance and support","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1999","1999",0.93,,
"AUS","Australia","80","Out-of-work income maintenance and support","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2000","2000",0.86,,
"AUS","Australia","80","Out-of-work income maintenance and support","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2001","2001",0.88,,
"AUS","Australia","80","Out-of-work income maintenance and support","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2002","2002",0.77,,
"AUS","Australia","80","Out-of-work income maintenance and support","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2003","2003",0.7,,
"AUS","Australia","80","Out-of-work income maintenance and support","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2004","2004",0.62,,
"AUS","Australia","80","Out-of-work income maintenance and support","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2005","2005",0.55,,
"AUS","Australia","80","Out-of-work income maintenance and support","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2006","2006",0.48,,
"AUS","Australia","80","Out-of-work income maintenance and support","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2007","2007",0.41,,
"AUS","Australia","80","Out-of-work income maintenance and support","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2008","2008",0.44,,
"AUS","Australia","80","Out-of-work income maintenance and support","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2009","2009",0.54,,
"AUS","Australia","90","Early retirement","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1992","1992",0,"n","Nil or less than 0.005"
"AUS","Australia","90","Early retirement","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1993","1993",0,"n","Nil or less than 0.005"
"AUS","Australia","90","Early retirement","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1994","1994",0,"n","Nil or less than 0.005"
"AUS","Australia","90","Early retirement","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1995","1995",0,"n","Nil or less than 0.005"
"AUS","Australia","90","Early retirement","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1996","1996",0,"n","Nil or less than 0.005"
"AUS","Australia","90","Early retirement","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1997","1997",0,"n","Nil or less than 0.005"
"AUS","Australia","90","Early retirement","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1998","1998",0,"n","Nil or less than 0.005"
"AUS","Australia","90","Early retirement","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1999","1999",0,"n","Nil or less than 0.005"
"AUS","Australia","90","Early retirement","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2000","2000",0,"n","Nil or less than 0.005"
"AUS","Australia","90","Early retirement","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2001","2001",0,"n","Nil or less than 0.005"
"AUS","Australia","90","Early retirement","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2002","2002",0,"n","Nil or less than 0.005"
"AUS","Australia","90","Early retirement","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2003","2003",0,"n","Nil or less than 0.005"
"AUS","Australia","90","Early retirement","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2004","2004",0,"n","Nil or less than 0.005"
"AUS","Australia","90","Early retirement","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2005","2005",0,"n","Nil or less than 0.005"
"AUS","Australia","90","Early retirement","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2006","2006",0,"n","Nil or less than 0.005"
"AUS","Australia","90","Early retirement","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2007","2007",0,"n","Nil or less than 0.005"
"AUS","Australia","90","Early retirement","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2008","2008",0,"n","Nil or less than 0.005"
"AUS","Australia","90","Early retirement","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2009","2009",0,"n","Nil or less than 0.005"
"AUS","Australia","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1992","1992",2.31,,
"AUS","Australia","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1993","1993",2.27,,
"AUS","Australia","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1994","1994",2.11,,
"AUS","Australia","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1995","1995",1.95,,
"AUS","Australia","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1996","1996",1.79,,
"AUS","Australia","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1997","1997",1.56,,
"AUS","Australia","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1998","1998",1.41,,
"AUS","Australia","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1999","1999",1.3,,
"AUS","Australia","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2000","2000",1.22,,
"AUS","Australia","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2001","2001",1.23,,
"AUS","Australia","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2002","2002",1.11,,
"AUS","Australia","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2003","2003",1.05,,
"AUS","Australia","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2004","2004",1,,
"AUS","Australia","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2005","2005",0.91,,
"AUS","Australia","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2006","2006",0.81,,
"AUS","Australia","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2007","2007",0.71,,
"AUS","Australia","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2008","2008",0.76,,
"AUS","Australia","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2009","2009",0.89,,
"AUS","Australia","110","Active programmes (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1992","1992",0.62,,
"AUS","Australia","110","Active programmes (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1993","1993",0.62,,
"AUS","Australia","110","Active programmes (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1994","1994",0.61,,
"AUS","Australia","110","Active programmes (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1995","1995",0.72,,
"AUS","Australia","110","Active programmes (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1996","1996",0.54,,
"AUS","Australia","110","Active programmes (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1997","1997",0.42,,
"AUS","Australia","110","Active programmes (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1998","1998",0.35,,
"AUS","Australia","110","Active programmes (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1999","1999",0.37,,
"AUS","Australia","110","Active programmes (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2000","2000",0.36,,
"AUS","Australia","110","Active programmes (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2001","2001",0.35,,
"AUS","Australia","110","Active programmes (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2002","2002",0.33,,
"AUS","Australia","110","Active programmes (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2003","2003",0.35,,
"AUS","Australia","110","Active programmes (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2004","2004",0.38,,
"AUS","Australia","110","Active programmes (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2005","2005",0.37,,
"AUS","Australia","110","Active programmes (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2006","2006",0.33,,
"AUS","Australia","110","Active programmes (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2007","2007",0.3,,
"AUS","Australia","110","Active programmes (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2008","2008",0.31,,
"AUS","Australia","110","Active programmes (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2009","2009",0.35,,
"AUS","Australia","112","Active measures (20-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1992","1992",0.4,,
"AUS","Australia","112","Active measures (20-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1993","1993",0.41,,
"AUS","Australia","112","Active measures (20-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1994","1994",0.43,,
"AUS","Australia","112","Active measures (20-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1995","1995",0.5,,
"AUS","Australia","112","Active measures (20-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1996","1996",0.32,,
"AUS","Australia","112","Active measures (20-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1997","1997",0.22,,
"AUS","Australia","112","Active measures (20-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1998","1998",0.15,,
"AUS","Australia","112","Active measures (20-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1999","1999",0.17,,
"AUS","Australia","112","Active measures (20-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2000","2000",0.16,,
"AUS","Australia","112","Active measures (20-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2001","2001",0.16,,
"AUS","Australia","112","Active measures (20-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2002","2002",0.17,,
"AUS","Australia","112","Active measures (20-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2003","2003",0.17,,
"AUS","Australia","112","Active measures (20-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2004","2004",0.16,,
"AUS","Australia","112","Active measures (20-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2005","2005",0.16,,
"AUS","Australia","112","Active measures (20-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2006","2006",0.14,,
"AUS","Australia","112","Active measures (20-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2007","2007",0.14,,
"AUS","Australia","112","Active measures (20-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2008","2008",0.15,,
"AUS","Australia","112","Active measures (20-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2009","2009",0.15,,
"AUS","Australia","120","Passive measures (80-90)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1992","1992",1.69,,
"AUS","Australia","120","Passive measures (80-90)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1993","1993",1.64,,
"AUS","Australia","120","Passive measures (80-90)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1994","1994",1.5,,
"AUS","Australia","120","Passive measures (80-90)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1995","1995",1.23,,
"AUS","Australia","120","Passive measures (80-90)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1996","1996",1.25,,
"AUS","Australia","120","Passive measures (80-90)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1997","1997",1.13,,
"AUS","Australia","120","Passive measures (80-90)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1998","1998",1.07,,
"AUS","Australia","120","Passive measures (80-90)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1999","1999",0.93,,
"AUS","Australia","120","Passive measures (80-90)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2000","2000",0.86,,
"AUS","Australia","120","Passive measures (80-90)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2001","2001",0.88,,
"AUS","Australia","120","Passive measures (80-90)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2002","2002",0.77,,
"AUS","Australia","120","Passive measures (80-90)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2003","2003",0.7,,
"AUS","Australia","120","Passive measures (80-90)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2004","2004",0.62,,
"AUS","Australia","120","Passive measures (80-90)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2005","2005",0.55,,
"AUS","Australia","120","Passive measures (80-90)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2006","2006",0.48,,
"AUS","Australia","120","Passive measures (80-90)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2007","2007",0.41,,
"AUS","Australia","120","Passive measures (80-90)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2008","2008",0.44,,
"AUS","Australia","120","Passive measures (80-90)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2009","2009",0.54,,
"AUS","Australia","11","Placement and related services","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2001","2001",0.11,,
"AUS","Australia","11","Placement and related services","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2002","2002",0.09,,
"AUS","Australia","11","Placement and related services","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2003","2003",0.11,,
"AUS","Australia","11","Placement and related services","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2004","2004",0.15,,
"AUS","Australia","11","Placement and related services","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2005","2005",0.13,,
"AUS","Australia","11","Placement and related services","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2006","2006",0.12,,
"AUS","Australia","11","Placement and related services","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2007","2007",0.11,,
"AUS","Australia","11","Placement and related services","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2008","2008",0.1,,
"AUS","Australia","11","Placement and related services","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2009","2009",0.11,,
"AUS","Australia","12","Benefit administration","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2001","2001",0.03,,
"AUS","Australia","12","Benefit administration","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2002","2002",0.03,,
"AUS","Australia","12","Benefit administration","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2003","2003",0.03,,
